company_name,market_cap,np_qtr,roce,debt_equity,eps_12m,promoter_holding,cmp_pcf,roe,pat_12m,opm,sales_growth_3y,profit_growth_3y,fii_holding,dii_holding,cap_category,sector,industry
Felix Industries,183.35,315.48,4.34,19.28,0.22,10.54,50.79,-7.38,15.04,18.14,27.6,74.07,149.35,1.28,Micro Cap,Capital Goods,Capital Goods
Advance Agrolife,108.96,702.24,7.46,19.28,0.32,5.49,69.89,-13.79,17.18,35.28,9.98,17.28,33.37,2.58,Micro Cap,Agriculture,Agriculture
Apollo Techno,83.5,114.3,6.84,19.27,0.31,8.06,73.05,-94.28,21.34,11.05,12.89,15.45,136.06,0.0,Micro Cap,Capital Goods,Capital Goods
Raj Oil Mills,46.0,69.96,0.51,19.26,12.25,1.56,75.0,85.36,0.0,4.67,4.58,2.55,17.62,0.0,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Ontic Finserve,1.85,16.65,-0.17,19.26,0.09,0.06,0.0,262.89,15.7,0.54,62.5,23.47,138.11,0.0,Micro Cap,Financial Services,Financial Services
Uni Abex Alloy,5001.15,987.73,257.63,19.25,0.03,1417.01,63.63,39.75,16.95,47.14,23.56,10.3,36.64,0.0,Small Cap,Metals and Mining,Metals and Mining
Pearl Global Ind,2003.7,9223.85,80.98,19.24,0.65,60.17,61.16,53.48,21.31,278.68,9.23,16.74,25.97,6.48,Small Cap,Textiles,Textiles
Honasa Consumer,446.45,14555.35,69.44,19.22,0.1,6.15,35.55,99.19,15.71,203.63,9.87,17.02,117.54,13.74,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Rapid Fleet,183.9,136.73,8.35,19.22,0.21,16.77,67.54,-11.84,16.57,12.49,13.16,24.65,37.74,0.0,Micro Cap,Services,Services
Jasch Industries,270.7,184.03,6.38,19.21,0.55,19.49,57.64,-18.94,18.97,13.33,9.9,11.25,-12.58,0.0,Micro Cap,Chemicals,Chemicals
Century Extrus.,19.17,153.59,2.95,19.21,0.75,1.37,52.04,41.08,13.89,11.52,6.63,8.76,18.35,0.14,Micro Cap,Metals and Mining,Metals and Mining
Linc,115.94,691.15,11.66,19.21,0.08,6.15,61.02,35.89,14.79,36.61,10.76,3.01,-0.84,0.84,Micro Cap,Consumer Durables,Consumer Durables
D.K. Enterprises,70.85,53.19,2.44,19.21,0.62,7.59,73.3,28.93,18.87,5.7,5.53,6.79,9.85,0.1,Micro Cap,Information Technology,Information Technology
B C C Fuba India,168.15,257.44,1.95,19.2,0.35,2.95,32.33,-309.58,17.03,5.88,14.84,36.33,36.74,0.49,Micro Cap,Capital Goods,Capital Goods
Filtra Consult.,58.01,63.6,1.63,19.2,0.05,3.4,72.45,139.73,14.96,3.73,4.8,2.53,2.83,0.0,Micro Cap,Utilities,Utilities
V R Infraspace,113.15,100.48,4.27,19.2,0.79,4.41,72.97,-7.25,10.25,3.92,15.13,60.39,17.12,0.0,Micro Cap,Construction,Construction
South West Pinn.,216.55,646.41,11.34,19.16,0.4,10.33,68.85,151.96,16.46,30.8,23.7,25.14,54.69,0.76,Micro Cap,Realty,Realty
Beta Drugs Ltd,2163.1,2192.71,9.05,19.16,0.6,40.92,64.63,2730.91,18.78,41.48,19.67,19.22,10.53,2.95,Small Cap,Healthcare,Healthcare
Panama Petrochem,400.55,2420.38,71.08,19.15,0.08,35.13,63.16,-100.54,15.6,212.5,8.99,10.87,-2.99,11.28,Micro Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Shivashrit Foods,125.2,228.73,6.54,19.15,0.46,7.69,73.0,-16.07,20.48,14.05,21.22,35.78,109.87,3.97,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Pankaj Polymers,69.7,38.65,0.1,19.12,0.0,4.0,46.29,46.0,18.36,2.2,-64.62,-9.95,253.03,0.0,Micro Cap,Chemicals,Chemicals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Micro Cap,Diversified,Diversified
Autofurnish,44.02,59.49,1.82,25.17,0.7,3.65,68.57,-19.7,21.97,3.63,14.12,54.44,183.09,0.67,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
K. V. Toys India,262.2,164.88,4.89,25.16,0.23,13.96,58.5,-15.06,27.23,8.69,7.19,0.0,0.0,1.22,Micro Cap,Consumer Durables,Consumer Durables
DRC Systems,14.02,201.98,5.82,25.15,0.0,1.34,20.63,10.05,22.65,20.06,29.47,55.04,44.2,0.0,Micro Cap,Information Technology,Information Technology
Supriya Lifesci.,970.75,7812.03,74.23,25.13,0.0,25.96,68.3,-844.81,19.09,209.47,35.52,21.56,32.55,5.18,Micro Cap,Healthcare,Healthcare
Signpost India,247.65,1321.02,21.01,25.13,0.71,13.1,60.38,-35.86,27.63,70.02,25.46,20.1,26.22,0.09,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Eighty Jewellers,38.0,38.76,6.54,25.12,0.8,9.55,73.53,15.12,30.46,9.74,11.85,11.13,95.68,0.0,Micro Cap,Consumer Durables,Consumer Durables
Ivalue Infosolut,273.25,1492.2,42.85,25.12,0.12,17.96,32.0,20.85,19.81,102.08,12.72,9.83,18.38,2.22,Micro Cap,Information Technology,Information Technology
Kimis Bioscien.,31.52,149.13,0.37,25.09,1.96,1.57,74.84,13.8,53.68,7.43,12.42,-3.67,42.53,0.0,Micro Cap,Healthcare,Healthcare
Radhika Jeweltec,54.4,641.45,7.53,25.07,0.15,6.34,57.68,-82.02,20.76,74.79,16.25,26.9,35.93,0.14,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Admech Systems,290.0,156.41,5.54,25.04,0.0,14.78,52.95,-16.94,21.65,10.01,18.53,73.91,364.31,1.06,Micro Cap,Capital Goods,Capital Goods
Ken Enter.,37.5,92.12,9.86,24.99,0.42,6.27,49.73,22.89,12.92,15.41,4.75,20.18,57.42,9.97,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Sodhani Capital,62.65,49.78,1.1,24.89,0.0,2.96,73.57,-390.72,18.56,2.35,67.91,22.42,25.11,0.0,Micro Cap,Financial Services,Financial Services
Alufluoride,455.95,356.57,4.67,24.19,0.36,32.13,59.94,30.3,22.03,25.06,21.52,15.32,25.59,0.05,Micro Cap,Chemicals,Chemicals
NFP Sampoorna,22.85,28.87,2.55,24.14,1.73,5.54,0.0,169.36,35.29,4.53,10.1,45.0,122.73,0.0,Micro Cap,Consumer Services,Consumer Services
Travels & Rent.,9.9,21.31,1.56,24.13,0.64,1.38,48.03,-2.92,14.97,3.04,68.21,50.97,67.11,0.27,Micro Cap,Consumer Services,Consumer Services
Redtape,134.77,7450.18,69.88,24.11,0.7,4.35,71.83,-477.37,26.58,240.55,14.38,18.1,19.19,3.81,Micro Cap,Consumer Durables,Consumer Durables
Volt.Transform.,10080.0,10190.24,47.9,24.08,0.0,301.85,30.0,81.95,18.07,305.38,16.5,15.85,15.82,22.82,Mid Cap,Capital Goods,Capital Goods
Enser,14.8,129.0,4.8,24.08,0.87,1.01,66.43,-14.35,23.15,8.9,20.2,49.95,87.51,0.0,Micro Cap,Capital Goods,Capital Goods
Ashwini Contain.,170.0,255.0,9.91,24.0,2.46,11.45,66.67,-53.97,72.05,10.09,28.53,17.29,131.3,2.58,Micro Cap,Services,Services
Chembond Chemic.,217.17,618.87,11.62,24.04,0.0,13.0,67.98,-25.49,18.34,34.86,14.51,-8.53,12.28,0.68,Micro Cap,Chemicals,Chemicals
Dhanuka Agritech,1055.1,4681.43,97.77,23.97,0.02,63.72,69.71,48.9,18.62,287.23,19.98,5.91,10.04,1.93,Small Cap,Agriculture,Agriculture
Contil India,22.75,35.2,0.45,23.97,0.0,1.48,41.58,-112.54,18.06,2.29,4.2,17.16,54.58,0.0,Micro Cap,Textiles,Textiles
Emcure Pharma,1849.5,35045.85,243.73,23.97,0.31,48.76,77.87,62.79,20.13,945.76,20.26,15.42,20.8,3.35,Small Cap,Healthcare,Healthcare
Digicontent,26.58,158.14,0.9,23.85,2.66,0.14,66.81,3.94,11.84,3.74,7.34,11.85,31.82,0.0,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Genus Power,318.45,8685.7,171.76,23.84,1.04,19.47,38.35,-23.0,29.0,582.3,18.22,80.46,173.16,18.09,Micro Cap,Power,Power
Aarnav Fashions,1119.5,13759.92,162.88,24.86,0.02,45.99,74.87,53.52,18.99,583.76,31.24,5.69,7.68,5.3,Small Cap,Textiles,Textiles
Sawaliya Food,298.4,255.96,5.28,24.86,0.31,8.07,67.78,-93.68,25.92,8.0,29.44,39.89,138.46,9.49,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Jindal LeaseFin,97.98,29.48,1.18,24.97,0.0,3.06,73.11,-74.1,15.67,0.92,89.12,520.58,123.74,0.0,Micro Cap,Financial Services,Financial Services
Exim Routes,106.0,158.77,7.17,24.96,0.23,5.43,52.64,-14.42,22.61,10.18,5.66,78.48,201.89,7.74,Micro Cap,Services,Services
Havells India,1156.1,72535.63,723.39,24.9,0.03,26.95,59.38,102.88,19.03,1691.31,9.95,10.03,16.42,16.93,Small Cap,Consumer Durables,Consumer Durables
Accent Microcell,483.7,1160.35,25.79,24.88,0.0,18.28,55.47,-42.15,18.65,43.86,18.24,20.85,53.07,0.58,Micro Cap,Chemicals,Chemicals
Inani Marbles,40.0,62.55,1.59,24.87,0.13,4.53,64.44,-11.11,18.82,7.09,41.26,39.56,57.64,0.0,Micro Cap,Construction,Construction
Amrutanjan Health,539.85,1558.57,16.19,24.82,0.0,20.03,46.52,261.92,18.52,54.51,15.06,9.8,17.46,2.17,Micro Cap,Healthcare,Healthcare
Elfin Agro India,73.04,141.88,1.79,24.8,0.1,2.97,72.59,42.9,20.12,5.77,5.45,20.94,47.17,0.0,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Expleo Solutions,806.35,1251.58,41.57,24.77,0.01,79.89,71.05,10.95,19.15,135.21,15.34,7.04,0.48,0.42,Micro Cap,Information Technology,Information Technology
Mayur Uniquoters,816.1,3539.89,59.43,24.74,0.01,44.13,58.77,31.3,18.37,191.74,24.27,7.63,23.15,3.68,Micro Cap,Textiles,Textiles
E Factor Experie,174.1,228.62,14.61,24.71,0.54,14.99,69.56,-23.9,24.43,19.68,14.99,39.37,39.37,0.53,Micro Cap,Consumer Services,Consumer Services
KSB,945.7,16461.53,39.8,24.7,0.0,14.86,69.8,351.49,18.39,275.24,13.2,13.95,16.98,4.66,Micro Cap,Capital Goods,Capital Goods
Alembic Pharma,21.69,22.34,5.12,24.68,0.19,7.17,67.96,-3.5,23.22,7.39,5.5,27.06,145.41,0.0,Micro Cap,Healthcare,Healthcare
M K Exim India,85.7,265.21,6.19,24.67,0.01,4.96,43.37,31.85,18.39,20.02,25.84,-2.08,8.96,0.05,Micro Cap,Services,Services
Prevest Denpro,372.9,447.59,6.08,24.67,0.0,17.85,73.8,30.49,18.51,21.42,35.63,12.86,10.59,0.65,Micro Cap,Healthcare,Healthcare
Digikore Studios,53.4,67.63,6.53,24.67,1.16,9.9,58.46,-3.19,30.66,12.64,33.05,22.62,49.12,1.3,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Omega Interactiv,50.97,402.88,1.8,24.64,0.0,3.48,7.94,-20.6,19.75,9.03,8.39,822.69,431.92,0.0,Micro Cap,Information Technology,Information Technology
Caplin Point Lab,2557.9,19436.44,172.88,24.63,0.0,84.36,70.57,84.7,20.62,641.24,34.79,14.25,19.57,6.15,Small Cap,Healthcare,Healthcare
Winsome Engineers,123.25,142.17,7.38,24.61,1.08,12.4,73.73,-6.34,25.7,14.34,17.08,27.8,43.5,0.01,Micro Cap,Capital Goods,Capital Goods
Platinumone Bus.,185.0,26.11,2.9,24.52,0.04,22.62,73.34,80.0,18.87,3.5,14.45,7.53,15.69,0.0,Micro Cap,Services,Services
Ascentive Educa.,19.75,80.68,1.16,24.52,0.41,0.83,52.24,-175.6,20.31,3.51,10.29,53.33,46.78,0.0,Micro Cap,Consumer Services,Consumer Services
Rajoo Engineers,52.92,946.42,1.83,24.49,0.07,2.67,60.7,50.72,18.77,47.74,17.77,29.16,64.42,1.66,Micro Cap,Capital Goods,Capital Goods
Jay Ambe Super.,104.25,92.58,3.36,24.49,0.3,5.48,52.46,-13.43,20.27,4.87,14.43,29.81,140.52,6.41,Micro Cap,Consumer Services,Consumer Services
Sandur Manganese,207.95,10105.13,236.28,24.4,0.31,13.51,74.22,16.93,23.24,681.61,23.76,33.77,37.13,1.63,Micro Cap,Metals and Mining,Metals and Mining
OAL Devices,458.35,812.05,14.08,24.4,0.49,18.53,65.21,-34.27,19.56,28.25,18.23,52.8,84.46,0.15,Micro Cap,Power,Power
Tera Software,411.5,515.49,7.22,24.37,0.27,19.82,47.53,-124.25,18.48,24.8,15.42,22.09,52.73,0.08,Micro Cap,Information Technology,Information Technology
NMS Global,80.72,24.3,0.15,24.35,2.14,2.4,38.48,1.85,34.2,0.72,4.26,86.74,37.0,0.0,Micro Cap,Services,Services
DCMS Industries,2231.1,13542.88,58.2,24.33,0.12,37.93,70.39,-1154.87,20.71,230.18,17.31,24.28,33.97,7.62,Small Cap,Capital Goods,Capital Goods
Jaro Institute,501.55,1117.63,21.33,24.33,0.02,23.86,57.28,287.27,19.9,52.92,26.33,30.88,65.23,0.78,Micro Cap,Consumer Services,Consumer Services
Simplex Castings,540.35,443.04,6.18,24.28,0.44,25.93,50.36,-138.9,25.73,21.8,18.43,20.28,74.24,4.94,Micro Cap,Metals and Mining,Metals and Mining
Celeb Platforms,146.15,2981.46,0.83,24.27,0.0,0.23,33.88,2288.33,17.53,4.72,1.01,372.55,77.08,0.13,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Pfizer,4404.9,20128.86,199.82,24.25,0.02,157.92,63.92,29.93,18.02,758.61,35.88,1.29,8.07,2.81,Small Cap,Healthcare,Healthcare
Kwality Pharma,2705.2,2817.43,25.31,24.25,0.39,64.91,54.87,529.5,22.82,67.97,23.5,26.08,29.11,2.79,Small Cap,Healthcare,Healthcare
Vectot Corporat,1448.7,2520.78,57.45,24.23,0.02,109.97,64.58,29.34,19.66,191.62,10.47,5.37,18.59,1.06,Small Cap,Services,Services
Sizemasters Tech,367.0,367.0,0.93,24.23,0.17,4.07,64.86,126.41,25.16,4.07,15.5,275.45,223.7,0.0,Micro Cap,Information Technology,Information Technology
Radico Khaitan,3876.9,51954.37,179.46,24.21,0.15,45.14,40.2,245.82,20.33,616.91,16.88,24.52,41.2,17.63,Small Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Diamond Power,208.54,10977.75,57.21,24.2,0.0,2.8,84.02,-1165.44,0.0,147.57,10.06,401.03,75.89,0.36,Micro Cap,Consumer Durables,Consumer Durables
Goldiam Intl.,452.65,5129.44,37.23,23.89,0.07,15.11,58.51,168.01,18.48,170.59,20.91,22.36,26.44,0.63,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Schneider AEW,1194.45,1444.81,9.13,23.88,0.01,31.19,74.12,77.5,17.71,38.75,13.16,4.82,32.42,0.0,Small Cap,Capital Goods,Capital Goods
Pondy Oxides,1304.4,3977.17,38.05,23.87,0.19,45.47,39.34,-50.14,19.95,139.38,7.18,25.93,41.22,2.22,Small Cap,Chemicals,Chemicals
Ajax Engineering,541.4,6195.72,94.96,23.86,0.0,19.58,80.0,33.45,17.85,227.47,12.54,22.24,18.71,5.65,Micro Cap,Capital Goods,Capital Goods
Master Trust,75.52,923.08,36.06,23.85,0.28,10.25,71.93,3.87,17.33,126.09,41.01,19.3,24.15,0.02,Micro Cap,Financial Services,Financial Services
Telgi Projects,149.5,146.37,3.51,23.85,0.23,8.07,71.65,-134.0,22.33,5.84,22.43,0.0,0.0,1.74,Micro Cap,Construction,Construction
Duchepefi Pub.,83.8,125.5,5.18,23.84,0.44,10.15,64.76,-19.14,28.33,15.2,25.72,28.45,218.6,0.68,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
CSM Technologies,0.0,0.0,23.84,0.39,25.53,0.0,20.44,16.16,15.76,29.89,27.21,0.0,0.0,0.0,Micro Cap,Information Technology,Information Technology
Solarworld Ind.,181.01,1568.01,49.06,23.8,0.3,13.9,65.77,-46.26,20.83,120.47,10.58,80.9,100.98,1.23,Micro Cap,Power,Power
Shri Radha Stein,25.35,39.5,4.48,23.77,0.91,5.61,68.59,-2.91,23.77,8.74,8.56,15.05,129.82,0.03,Micro Cap,Capital Goods,Capital Goods
Bemco Hydraulics,97.75,427.5,5.42,23.76,0.21,3.4,74.69,37.7,19.23,14.87,23.56,26.1,56.36,0.0,Micro Cap,Capital Goods,Capital Goods
Bhansali Engg,98.88,2459.97,51.8,23.75,0.0,7.24,57.47,16.55,17.28,180.16,16.95,-2.16,9.65,1.38,Micro Cap,Chemicals,Chemicals
Danish Power,1025.5,2019.37,41.17,23.75,0.0,35.55,73.62,-134.18,18.03,70.01,17.37,40.41,101.01,0.27,Small Cap,Power,Power
Elgi Equipments,608.3,18288.94,128.0,23.73,0.24,13.57,31.18,65.07,21.54,441.21,14.86,9.12,15.59,22.2,Micro Cap,Capital Goods,Capital Goods
Shakti Pumps,589.7,7278.29,38.33,23.73,0.29,20.87,50.35,-165.94,17.87,257.58,15.83,40.74,120.18,4.83,Micro Cap,Capital Goods,Capital Goods
Megamont,180.4,483.27,3.59,23.72,1.41,2.15,58.55,0.0,36.45,6.22,0.77,0.0,0.0,0.0,Micro Cap,Capital Goods,Capital Goods
Moxsh Overseas,119.5,111.63,4.19,23.68,0.23,2.31,60.04,-54.75,16.73,2.16,39.44,-1.6,28.84,0.0,Micro Cap,Services,Services
Panacho Digilife,435.75,697.81,8.51,23.67,0.25,9.62,54.05,-307.59,20.06,17.96,10.94,27.75,113.33,0.0,Micro Cap,Information Technology,Information Technology
Tantec Inds.,2453.3,4854.18,18.04,23.66,0.25,35.16,51.01,-150.85,20.47,70.14,15.76,23.78,9.61,0.03,Small Cap,Textiles,Textiles
Bhadora Inds.,83.75,155.7,8.38,23.65,0.22,5.35,62.75,-9.74,18.31,9.94,13.04,89.22,200.81,2.01,Micro Cap,Capital Goods,Capital Goods
Ram Ratna Wires,404.65,3777.84,39.23,23.63,1.13,11.47,69.3,-46.85,20.61,109.54,5.02,25.01,35.1,0.17,Micro Cap,Capital Goods,Capital Goods
Shraddha Prime,159.5,644.4,23.3,23.58,1.98,13.33,74.78,-10.74,51.2,53.98,13.04,289.69,375.23,0.0,Micro Cap,Realty,Realty
iStreet Network,49.15,346.51,0.39,23.57,0.01,0.71,46.24,-24.74,22.39,4.96,3.82,0.0,183.01,0.0,Micro Cap,Telecommunications,Telecommunications
Vedant Fashions,411.95,10008.45,114.3,23.55,0.23,15.46,74.84,22.3,26.03,375.54,43.77,2.88,6.28,12.62,Micro Cap,Textiles,Textiles
Zensar Tech.,433.4,9850.0,210.6,23.54,0.02,34.05,49.0,15.77,18.08,793.48,18.11,5.47,35.83,10.51,Micro Cap,Information Technology,Information Technology
Glotte,56.72,621.2,10.71,23.53,0.19,4.08,74.23,-19.66,19.88,37.72,5.86,14.72,18.85,0.86,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Coforge,1491.4,64123.75,666.2,23.5,0.08,46.33,0.0,76.34,20.64,1642.24,17.9,26.96,30.99,24.66,Small Cap,Information Technology,Information Technology
METS,139.0,76.59,2.26,23.47,0.04,12.94,60.22,42.32,19.37,7.45,19.15,16.77,35.33,0.2,Micro Cap,Capital Goods,Capital Goods
CFF Fluid,851.35,1785.63,20.07,23.47,0.07,18.69,68.06,-61.29,18.93,39.2,28.34,43.48,56.89,0.01,Micro Cap,Capital Goods,Capital Goods
Sumitomo Chem.,419.9,20873.58,110.61,23.46,0.02,10.88,75.0,41.06,17.66,554.49,20.57,-3.18,3.27,3.41,Micro Cap,Chemicals,Chemicals
Amic Forging,1843.6,2128.14,15.87,23.46,0.03,26.3,57.86,-68.58,16.79,28.27,30.16,7.02,42.79,0.15,Small Cap,Capital Goods,Capital Goods
Surgamer Energ.,181.0,41.97,2.81,23.45,1.81,16.52,62.0,-5.31,29.11,3.83,11.01,0.0,0.0,0.0,Micro Cap,Power,Power
Sobhagya Mercant,890.0,867.52,5.67,23.44,0.11,22.61,64.62,-207.69,16.15,22.04,14.22,28.8,27.12,13.83,Micro Cap,Financial Services,Financial Services
Mohit Colours,56.9,70.57,1.93,23.42,0.05,4.95,71.6,3010.5,17.9,5.22,19.84,12.8,20.82,1.85,Micro Cap,Chemicals,Chemicals
Icon Facil.,51.45,64.02,2.89,23.41,0.02,5.53,70.75,-38.68,18.22,4.42,9.93,14.37,32.04,0.0,Micro Cap,Services,Services
Valplast Technol,41.48,81.42,5.92,23.41,0.32,4.74,63.68,-13.94,18.7,9.3,18.6,55.56,93.68,0.63,Micro Cap,Construction,Construction
Kesar India,1246.05,3759.5,14.54,23.36,0.18,10.46,70.57,-83.84,20.03,29.88,24.49,126.48,237.1,15.7,Small Cap,Realty,Realty
Gallantt Steel,159.35,151.38,4.81,23.33,0.35,9.58,67.16,-22.73,24.01,9.1,22.4,48.05,100.44,4.65,Micro Cap,Metals and Mining,Metals and Mining
Skipper,528.55,5905.59,75.61,23.32,0.64,18.38,68.5,-245.23,16.2,215.36,10.31,41.01,87.77,8.07,Micro Cap,Capital Goods,Capital Goods
Shree Pacetronix,125.25,48.96,1.11,23.3,0.15,8.37,31.7,-331.02,19.69,3.14,24.21,2.22,-1.24,0.0,Micro Cap,Capital Goods,Capital Goods
TRIL,332.8,10002.99,81.39,23.3,0.33,8.81,64.36,-108.76,19.11,264.38,15.27,21.59,86.56,8.33,Micro Cap,Realty,Realty
Data Pattern,4472.1,25016.06,138.38,23.28,0.0,48.47,42.41,-552.27,16.87,273.62,40.44,26.81,30.4,12.47,Small Cap,Information Technology,Information Technology
Kajaria Ceramics,1205.9,19205.84,156.56,23.27,0.07,30.48,47.69,48.36,17.9,519.95,17.91,3.3,14.0,10.23,Small Cap,Consumer Durables,Consumer Durables
Chandan Healthca,251.2,630.89,6.92,23.27,0.31,11.07,48.55,-17.06,19.92,28.24,19.02,28.38,105.49,0.01,Micro Cap,Healthcare,Healthcare
DSM Fresh,62.17,103.14,7.34,23.27,0.55,6.45,20.16,-6.04,17.64,14.5,14.09,57.72,64.26,1.25,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Kaytex Fabrics,60.35,88.71,8.83,23.25,0.21,11.89,74.38,-9.28,20.93,17.43,18.6,17.94,46.53,2.8,Micro Cap,Textiles,Textiles
Santhose Tech.,128.3,73.0,2.35,23.23,0.12,9.98,74.98,33.34,19.25,5.68,13.75,8.71,30.77,0.0,Micro Cap,Information Technology,Information Technology
NSDL,861.2,17224.0,90.32,23.22,0.01,18.99,0.0,55.52,17.36,379.74,28.11,14.4,18.2,14.4,Micro Cap,Financial Services,Financial Services
Kingfa Science,4957.0,6756.67,58.15,23.2,0.01,136.71,67.02,-1036.26,17.41,185.26,13.1,12.44,31.55,7.76,Small Cap,Chemicals,Chemicals
Kilburn Engg.,487.75,2654.09,24.88,23.18,0.14,18.18,44.53,-121.83,17.08,86.2,23.4,0.0,0.0,1.1,Micro Cap,Capital Goods,Capital Goods
IFL Capital,337.65,10586.77,115.12,23.17,0.59,18.02,30.87,-209.5,20.15,561.35,35.04,21.16,31.29,15.33,Micro Cap,Financial Services,Financial Services
Meta Infotech,84.1,158.79,0.44,23.16,0.12,5.75,69.89,-17.13,18.47,10.88,6.67,35.56,19.29,0.38,Micro Cap,Information Technology,Information Technology
B. D. Industries,110.5,157.02,5.09,23.14,0.24,6.73,70.44,-20.32,20.59,9.56,17.15,22.5,86.24,0.0,Micro Cap,Capital Goods,Capital Goods
Mukand,131.11,1894.53,554.98,23.13,1.11,41.81,74.7,44.99,48.88,604.15,3.5,-4.23,52.7,0.26,Micro Cap,Metals and Mining,Metals and Mining
Vivid Mercantile,7.03,70.48,1.44,23.13,0.0,1.06,10.75,459.85,19.63,10.79,24.07,119.76,264.38,0.0,Micro Cap,Financial Services,Financial Services
Tech Mahindra,1433.8,140564.73,1356.4,23.12,0.07,48.1,34.97,25.45,17.53,4995.04,15.8,2.16,1.14,18.59,Small Cap,Information Technology,Information Technology
Medica Remedies,40.27,333.68,5.86,23.12,0.25,1.58,61.38,321.39,19.02,13.12,8.25,13.69,21.82,0.03,Micro Cap,Healthcare,Healthcare
Axis Solution,308.6,1458.45,15.72,23.07,0.55,6.15,85.64,-93.07,22.18,29.06,18.91,52.72,42.21,0.0,Micro Cap,Information Technology,Information Technology
Parker Agrochem,14.0,6.7,0.33,23.07,0.05,1.8,58.83,23.72,19.95,0.86,24.44,7.27,9.78,0.0,Micro Cap,Agriculture,Agriculture
Sarda Proteins,93.13,83.59,0.84,23.06,0.05,0.71,0.0,-3.28,23.75,0.64,1.79,40.71,185.75,0.0,Micro Cap,Healthcare,Healthcare
Quess Corp,247.94,3706.92,84.35,23.04,0.11,14.84,56.83,10.78,20.38,229.41,2.04,-3.74,7.27,8.31,Micro Cap,Services,Services
ICRA,5284.0,5098.38,52.69,23.02,0.02,188.08,51.87,40.68,16.7,186.53,35.87,14.13,11.33,7.92,Small Cap,Financial Services,Financial Services
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Micro Cap,Diversified,Diversified
DC Infotech,269.45,437.18,5.79,22.98,0.81,13.0,62.2,-23.29,23.67,21.32,4.82,27.11,44.41,1.28,Micro Cap,Information Technology,Information Technology
Agarwal Toughene,131.9,233.12,9.34,22.97,0.21,12.22,64.16,-103.0,20.57,21.6,29.56,33.44,181.34,1.13,Micro Cap,Capital Goods,Capital Goods
Shri Ahimsa,432.55,1013.5,15.24,22.96,0.05,12.84,68.4,61.67,17.24,30.08,29.15,5.88,-5.56,0.41,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
M & B Engineer.,308.35,1771.8,27.0,22.96,0.13,16.21,70.54,-39.29,19.41,93.5,11.23,12.68,41.55,2.86,Micro Cap,Capital Goods,Capital Goods
Ramchandra Leas.,19.74,160.21,2.63,22.94,0.1,0.4,54.93,-54.15,18.54,3.24,36.32,194.95,586.83,0.0,Micro Cap,Financial Services,Financial Services
Onward Technolog,287.0,640.96,9.55,22.94,0.16,19.48,40.02,14.2,19.53,46.65,13.21,7.24,60.7,9.33,Micro Cap,Information Technology,Information Technology
Nurture Well Industries,26.55,618.19,-1.18,22.92,0.1,2.88,53.81,-14.65,21.29,67.11,8.75,484.5,266.79,0.18,Micro Cap,Healthcare,Healthcare
Swasti Vin. Art,3.62,32.58,2.75,22.91,0.26,0.65,51.0,5.28,20.04,5.81,24.86,35.76,26.06,0.0,Micro Cap,Healthcare,Healthcare
AVP Infracon,67.65,168.99,18.95,22.91,1.16,16.86,62.41,-3.93,27.67,42.12,18.35,58.16,52.14,0.0,Micro Cap,Construction,Construction
SPEB Adhesives,89.0,199.94,3.21,22.91,0.0,3.06,73.18,141.35,16.94,6.87,17.88,9.66,56.57,0.4,Micro Cap,Chemicals,Chemicals
Guj. Inject(Ker),124.4,182.23,1.64,22.89,0.0,1.24,0.0,-76.53,16.58,1.81,6.33,497.81,256.35,0.0,Micro Cap,Chemicals,Chemicals
Welspun Corp,1510.8,39841.17,371.46,22.89,0.26,61.15,49.73,49.25,19.42,1611.68,13.33,19.78,118.6,11.23,Small Cap,Metals and Mining,Metals and Mining
